album,tema,estetica,processada,observacoes
Human Being,Imitation of Life,"Persona: AUREN VALENTINE (Djent/Metalcore), 140 BPM, 7-string guitar, polyrhythmic patterns, breakdown sections, clean/scream vocal dynamics, tight production",sim,Processada em 2026-01-24 16:17:28
Human Being,The good the bad and the curious,"Persona: AUREN VALENTINE (Djent/Metalcore), progressive structure, ambient interludes, philosophical lyrics, dynamic range from whisper to roar",sim,Processada em 2026-01-24 16:20:08
Human Being,Transformation,"Persona: AUREN VALENTINE (Djent/Metalcore), evolving time signatures, metamorphosis theme, crescendo build-ups, emotional vocal delivery",sim,Processada em 2026-01-24 16:22:54
Human Being,Hope,"Persona: AUREN VALENTINE (Djent/Metalcore), uplifting melodic sections, contrast between heavy and clean passages, inspirational lyrics",sim,Processada em 2026-01-24 16:25:23
Human Being,Call to die,"Persona: AUREN VALENTINE (Djent/Metalcore), aggressive breakdown, existential theme, brutal vocals, syncopated rhythms",sim,Processada em 2026-01-24 16:27:56
Human Being,Return,"Persona: AUREN VALENTINE (Djent/Metalcore), cyclical structure, nostalgic melodies, homecoming theme, epic finale",sim,Processada em 2026-01-24 16:30:43
Human Being,Void Mirror,"Persona: AUREN VALENTINE (Djent/Metalcore), dark atmospheric intro, self-reflection theme, dissonant harmonies, haunting clean vocals",sim,Processada em 2026-01-24 16:33:21
Human Being,Please don't follow,"Persona: AUREN VALENTINE (Djent/Metalcore), warning narrative, urgent tempo, call-and-response vocals, technical guitar work",sim,Processada em 2026-01-24 16:36:16
Human Being,Nekroz,"Persona: AUREN VALENTINE (Djent/Metalcore), death/rebirth concept, blast beats sections, ritual atmosphere, guttural vocals",sim,Processada em 2026-01-24 16:38:39
Human Being,Saturation,"Persona: AUREN VALENTINE (Djent/Metalcore), maximum intensity, layered guitars, overwhelming sonic assault, climactic album closer",sim,Processada em 2026-01-24 16:40:55
Orichalcum,Violence,"Persona: AUREN VALENTINE (Deathcore), brutal breakdowns, 160 BPM, drop-tuned 8-string, guttural vocals, chaotic energy",sim,Processada em 2026-01-24 16:43:38
Orichalcum,Chaovid,"Persona: AUREN VALENTINE (Deathcore), pandemic chaos theme, dissonant riffs, apocalyptic atmosphere, blast beats",sim,Processada em 2026-01-24 16:46:16
Orichalcum,The end of world,"Persona: AUREN VALENTINE (Deathcore), doomsday narrative, crushing heaviness, orchestral elements, epic scale",sim,Processada em 2026-01-24 16:48:35
Orichalcum,Once upon a darkness,"Persona: AUREN VALENTINE (Deathcore), dark fairy tale concept, contrasting dynamics, eerie clean sections, brutal drops",sim,Processada em 2026-01-24 16:51:20
Orichalcum,Lmaninalion,"Persona: AUREN VALENTINE (Deathcore), abstract horror theme, technical precision, polyrhythmic chaos, inhuman vocals",sim,Processada em 2026-01-24 16:53:25
Orichalcum,Closure,"Persona: AUREN VALENTINE (Deathcore), finality theme, emotional weight, melodic death metal influence, cathartic release",sim,Processada em 2026-01-24 16:55:58
Orichalcum,Closer to me,"Persona: AUREN VALENTINE (Deathcore), intimate brutality, personal struggle theme, dynamic vocal range, progressive structure",sim,Processada em 2026-01-24 16:58:27
Orichalcum,Nearest Neighborhood,"Persona: AUREN VALENTINE (Deathcore), suburban horror concept, groove-oriented, sinister atmosphere, memorable hooks",sim,Processada em 2026-01-24 17:01:17
Dark Core,Invention of life,"Persona: JOHN WEISS (Industrial Metal), mechanical rhythms, 120 BPM, synth layers, distorted vocals, creation mythology theme",sim,Processada em 2026-01-24 17:03:28
Dark Core,Truth or False,"Persona: JOHN WEISS (Industrial Metal), binary concept, glitch effects, philosophical questioning, harsh electronics",sim,Processada em 2026-01-24 17:05:29
Dark Core,Neg8ve vibes no more,"Persona: JOHN WEISS (Industrial Metal), defiant anthem, uplifting industrial, positive aggression, empowerment theme",nao,"ERRO: Expecting ',' delimiter: line 4 column 26 (char 302)"
Dark Core,Absolutely silently,"Persona: JOHN WEISS (Industrial Metal), paradoxical quiet chaos, ambient noise, whispered threats, tension building",sim,Processada em 2026-01-24 17:08:21
Dark Core,Dumb blow,"Persona: JOHN WEISS (Industrial Metal), impact theme, heavy percussion, sledgehammer riffs, brutal simplicity",sim,Processada em 2026-01-24 17:10:46
Dark Core,Imagination,"Persona: JOHN WEISS (Industrial Metal), creative exploration, experimental sounds, mind-expansion theme, psychedelic industrial",sim,Processada em 2026-01-24 17:13:18
Dark Core,Red Walruz,"Persona: JOHN WEISS (Industrial Metal), surreal imagery, circus-like chaos, disturbing carnival atmosphere, twisted humor",sim,Processada em 2026-01-24 17:16:12
Dark Core,Creed of the innocents,"Persona: JOHN WEISS (Industrial Metal), corrupted purity theme, choir samples, religious imagery, dark irony",sim,Processada em 2026-01-24 17:18:51
Dark Core,Evilswarm,"Persona: JOHN WEISS (Industrial Metal), insect-like rhythms, swarm mentality theme, overwhelming layers, dystopian finale",sim,Processada em 2026-01-24 17:21:13
Cutthroat Tribe,Chaos Culture,"Persona: AUREN VALENTINE (Thrash/Djent Fusion), 180 BPM thrash energy, modern djent precision, social commentary, aggressive vocals",sim,Processada em 2026-01-24 17:23:58
Cutthroat Tribe,Insanity,"Persona: AUREN VALENTINE (Thrash/Djent Fusion), mental breakdown theme, frantic tempo changes, chaotic solos, unhinged vocals",nao,ERRO: Timeout em 2026-01-24 17:26:58
Cutthroat Tribe,Terrorism,"Persona: AUREN VALENTINE (Thrash/Djent Fusion), political rage, relentless assault, fear and control theme, militant rhythms",sim,Processada em 2026-01-24 17:29:49
Cutthroat Tribe,Ngga,"Persona: AUREN VALENTINE (Thrash/Djent Fusion), confrontational theme, raw energy, street-level aggression, unfiltered expression",sim,Processada em 2026-01-24 17:32:16
Cutthroat Tribe,Advurtisı,"Persona: AUREN VALENTINE (Thrash/Djent Fusion), consumerism critique, catchy but aggressive, media manipulation theme, ironic hooks",sim,Processada em 2026-01-24 17:35:06
Cutthroat Tribe,Racist theme,"Persona: AUREN VALENTINE (Thrash/Djent Fusion), anti-racism anthem, confrontational lyrics, social justice rage, powerful message",sim,Processada em 2026-01-24 17:37:28
Cutthroat Tribe,Mac4bre,"Persona: AUREN VALENTINE (Thrash/Djent Fusion), death obsession, dark humor, morbid fascination theme, groove-heavy",sim,Processada em 2026-01-24 17:40:06
Cutthroat Tribe,Dark Magician,"Persona: AUREN VALENTINE (Thrash/Djent Fusion), occult power theme, mystical atmosphere, technical wizardry, epic closer",sim,Processada em 2026-01-24 17:43:03
