album,titulo,tema,genero,mood,estetica,status,processada,observacoes
Human Being,Imitation of Life,The Matrix + Blade Runner,Djent/Metalcore,defiance,"cyberpunk_noir archetype: neon-lit decay, identity crisis, synthetic humanity vs organic soul",pending,nao,"Fusion: Djent polyrhythms + Synthwave pads; 7-string guitar in Drop A; clean/scream dynamics"
Human Being,The Curious Paradox,Fight Club + Donnie Darko,Djent/Metalcore,tension,"existential_crisis archetype: reality fragmentation, philosophical questioning, duality of self",pending,nao,"Fusion: Progressive structure with ambient interludes; philosophical lyrics exploring good/evil/curiosity"
Human Being,Metamorphosis,Dark Souls + Berserk,Djent/Metalcore,triumph,"dark_fantasy archetype: transformation through suffering, phoenix rebirth, inner power awakening",pending,nao,"Evolving time signatures (7/8 → 4/4 → 6/8); crescendo builds; emotional vocal delivery"
Human Being,Echoes of Hope,The Road + Interstellar,Djent/Metalcore,euphoria,"apocalyptic_survival archetype: perseverance through desolation, light in darkness, human resilience",pending,nao,"Uplifting melodic sections contrasting heavy passages; Post-Rock influence; inspirational lyrics"
Human Being,Call to Die,300 + Gladiator,Djent/Metalcore,rage,"mythological_epic archetype: warrior's acceptance of fate, existential battle, honor in death",pending,nao,"Aggressive breakdowns; syncopated rhythms; brutal vocals; existential theme"
Human Being,Return,The Odyssey + Spirited Away,Djent/Metalcore,nostalgia,"mythological_epic archetype: cyclical journey, homecoming after transformation, familiar made strange",pending,nao,"Cyclical song structure; nostalgic melodies; epic finale with choir elements"
Human Being,Void Mirror,Black Swan + Perfect Blue,Djent/Metalcore,dread,"psychological_thriller archetype: self-reflection becoming horror, fractured identity, inner demons",pending,nao,"Dark atmospheric intro; dissonant harmonies; haunting clean vocals; self-reflection theme"
Human Being,Please Don't Follow,Se7en + Hereditary,Djent/Metalcore,anguish,"occult_ritual archetype: warning narrative, dangerous path, protecting others from one's darkness",pending,nao,"Urgent tempo; call-and-response vocals; technical guitar work; warning narrative"
Human Being,Nekroz,Hereditary + The Witch,Djent/Metalcore,dread,"occult_ritual archetype: death/rebirth ritual, transformation through darkness, ancient rites",pending,nao,"Blast beat sections; ritual atmosphere; guttural vocals; death/rebirth concept"
Human Being,Saturation,Akira + Ghost in the Shell,Djent/Metalcore,rage,"techno_dystopia archetype: sensory overload, maximum intensity, digital overwhelm",pending,nao,"Maximum intensity; layered guitars; overwhelming sonic assault; climactic album closer"
